name,gender_guess,label
"Fairchild, Charles Grandison",male,NA
"Fairchild, Edward Henry",male,NA
"Fakryensh, M. E.",female,NA
"Farmer, William.",male,NA
"Farnham, Eliza W.",female,NA
"Farnsworth, Amos",male,NA
"Fayerweather, Sarah Ann Harris",female,NA
"Fee, John Gregg",male,NA
"Ferguson, Fergus",male,NA
"Ferguson, Robert.",male,NA
"Fessenden, Samuel",male,NA
"Field, Cyrus W.",male,NA
"Fields, Annie",female,NA
"Fields, James Thomas",male,NA
"Firth, Abraham",male,NA
"Fish, Benjamin.",male,NA
"Fish, William Henry",male,NA
"Fisk, John M.",male,NA
"Fitch, William H.",male,NA
"Fitz, Charles F.",male,NA
"Flanders, Martha G.",female,NA
"Fleet, Mozart B.",male,NA
"Fletcher, John.",male,NA
"Flint, J. M.",male,NA
"Folger, Robert H.",male,NA
"Follen, Charles Christopher",male,NA
"Follen, Eliza Lee Cabot",female,NA
"Foote, Hiram.",male,NA
"Forbes, John Murray",male,NA
"Ford, Lewis",male,NA
"Forman, J. G.",male,NA
"Foss, A. T.",male,NA
"Foster, Abby Kelley",female,NA
"Foster, Daniel",male,NA
"Foster, E. J.",female,NA
"Foster, George.",male,NA
"Foster, Horatio W.",male,NA
"Foster, N. A.",male,NA
"Foster, Rebeckah H.",female,NA
"Foster, Stephen S.",male,NA
"Fowler, L. N.",male,NA
"Fowler, Lydia F.",female,NA
"Fox, Henry J.",male,NA
"Fox, William",male,NA
"Freeland, Edward B.",male,NA
"Frémont, John Charles",male,NA
"French, John Robert",male,NA
Friend of the Freedmen.,male,NA
"Frost, B.",male,NA
"Frothingham, Frederick",male,NA
"Frothingham, Octavius Brooks",male,NA
"Furness, William Henry",male,NA
"Fyfe, Andrew.",male,NA
"Gaël, A.",male,NA
"Gage, Frances Dana",female,NA
"Gale, Samuel",male,NA
"Garland, C. T.",male,NA
"Garretson, N. P.",male,NA
"Garrett, Thomas",male,NA
"Garrison, George A.",male,NA
"Garrison, Helen Eliza",female,NA
"Garrison, William Lloyd",male,"Garrison, William Lloyd"
"Gates, Lucy.",female,NA
"Gay, Sydney Howard",male,NA
"Gazzam, Joseph M.",male,NA
"Geoffroy Saint-Hilaire, Isidore",male,NA
"Gibbons, Abby Hopper",female,NA
"Gibbons, J. S.",male,NA
"Gibbs, Leonard.",male,NA
"Giddings, Joshua R.",male,NA
"Giddings, Lura Maria",female,NA
"Gilbert, Amos.",male,NA
"Gilbert, Olive.",female,NA
"Gilbert, Oliver C.",male,NA
"Gilbert, Timothy",male,NA
"Gilmore, William R.2.",male,NA
"Gledstone, James Paterson.",male,NA
"Glover, T. W.",male,NA
"Goddard, Delano A.",male,NA
"Goff, H. N. K.",male,NA
"Goodell, Lavinia.",female,NA
"Goodell, William",male,NA
"Gore, John C.",male,NA
"Gould, Reuben K.",male,NA
"Gould, William E.",male,NA
"Gowing, Richard.",male,NA
"Grabord, Louis.",male,NA
"Graham, Andrew J.",male,NA
"Graham, Sylvester",male,NA
"Grandey, George W.",male,NA
"Grandin, David S.",male,NA
"Grandy, Moses",male,NA
"Greeley, Horace",male,NA
"Green, William",male,NA
"Greener, Richard Theodore",male,NA
"Greenwood, Grace",female,NA
"Greville, Robert Kaye",male,NA
"Grew, Henry",male,NA
"Grew, Mary",female,NA
"Grew, William.",male,NA
"Gridley, Fidelia S.",female,NA
"Griffin, William P.",male,NA
"Griffing, Josephine W.",female,NA
"Griffiths, Julia",female,NA
"Grimké, Angelina Emily",female,NA
"Grimké, Angelina Emily",female,NA
"Grimké, Sarah Moore",female,NA
"Griswold, Howard.",male,NA
"Griswold, Whiting",male,NA
"Grosvenor, Cyrus Pitt",male,NA
"Grosvenor, Louisa.",female,NA
"Grover, A. J.",male,NA
"Guild, Mary M.",female,NA
"Guiney, Patrick R.",male,NA
"Gulland, James.",male,NA
"Gunn, Lewis C.",male,NA
"Gurley, Ralph Randolph",male,NA
"Hager, Albert D.",male,NA
"Hale, John P.",male,NA
"Hale, Susan",female,NA
"Hall, Edward B.",male,NA
"Hall, Robert B.",male,NA
"Hallock, N.",male,NA
"Hamilton, Edward.",male,NA
"Hamilton, John.",male,NA
"Hammond, Charles Goodrich",male,NA
"Hammond, Elisha Livermore",male,NA
"Hanaford, Phebe A.",female,NA
"Harlow, Thomas S.",male,NA
"Harris, Edward",male,NA
"Harris, George",male,NA
"Haskell, A. L.",male,NA
"Haskell, William Garrison.",male,NA
"Haskell, William O.",male,NA
"Hassall, Robert.",male,NA
"Hatch, Benjamin F.",male,NA
"Haughton, James",male,NA
"Haughton, Samuel.",male,NA
"Haughton, Sarah C.",female,NA
"Haven, Gilbert",male,NA
"Hayden, Harriet W.",female,NA
"Hayden, Lewis",male,NA
"Haynes, John C.",male,NA
"Hayward, Susan W.",female,NA
"Healy, Joseph",male,NA
"Heaton, Nathan.",male,NA
"Helper, Hinton Rowan",male,NA
"Henderson, D. C.",male,NA
"Henson, Josiah",male,NA
"Herndon, William Henry",male,NA
"Hesse, Augustus",male,NA
"Higgins, J. A.",male,NA
"Higginson, Thomas Wentworth",male,"Higginson, Thomas Wentworth"
"Hilditch, Sarah.",female,NA
"Hildreth, Richard",male,NA
